content_id,compound_id,health_effect_id,health_effect_name,compound_name
49,11907,10,5-lipoxygenase inhibitor,Quercetin
50,12295,10,5-lipoxygenase inhibitor,Curcumin
51,12414,10,5-lipoxygenase inhibitor,Capsaicin
52,14817,10,5-lipoxygenase inhibitor,Carnosol
53,12295,11,8-hydroxyeicosatetraenoic-acid inhibitor,Curcumin
54,2427,12,beta inhibitor,Rosmarinic acid
55,449,13,abortifacient,Piperine
56,1521,13,abortifacient,Verbenalin
57,2096,13,abortifacient,Boldine
58,3674,13,abortifacient,Prostaglandin E-2
59,4484,13,abortifacient,Euphol
60,5845,13,abortifacient,Plumbagin
61,6195,13,abortifacient,
62,6196,13,abortifacient,
63,6199,13,abortifacient,Charantin
64,8422,13,abortifacient,"(S,E)-Zearalenone"
65,9021,13,abortifacient,Betaine
66,11831,13,abortifacient,Genistein
67,11932,13,abortifacient,Apiole
68,12161,13,abortifacient,Serotonin
69,12222,13,abortifacient,Formononetin
70,12578,13,abortifacient,Ellagic acid
71,13037,13,abortifacient,Oleanolic acid
72,14963,13,abortifacient,(+)-3-Thujone
73,14965,13,abortifacient,(-)-3-Isothujone
74,15009,13,abortifacient,S-beta-Bisabolene
75,1128,14,absorbent,Starch
76,8284,15,acantholytic,2-Propene-1-thiol
77,8314,15,acantholytic,3-(Methylthio)-1-propene
78,15392,15,acantholytic,
79,3358,16,acaricide,
80,3368,16,acaricide,Benzyl acetate
81,8769,16,acaricide,3-Butylidene-1(3H)-isobenzofuranone
82,8782,16,acaricide,3-Phenyl-2-propenal
83,9779,16,acaricide,(±)-Menthone
84,11916,16,acaricide,2-Methoxybenzaldehyde
85,12174,16,acaricide,Eugenol
86,12396,16,acaricide,Aceteugenol
87,12807,16,acaricide,Formic acid
88,12847,16,acaricide,Benzyl benzoate
89,13570,16,acaricide,Limonene
90,14619,16,acaricide,"1,8-Cineole"
91,14620,16,acaricide,Citronellal
92,14798,16,acaricide,2-Isopropyl-5-methylphenol
93,14913,16,acaricide,Perillaldehyde
94,14943,16,acaricide,Linalool
95,15345,16,acaricide,alpha-Cadinol
96,15974,16,acaricide,
97,15975,16,acaricide,gamma-Terpinene
98,3718,17,acarifuge,Sulfur
99,614,18,angiotensin converting enzyme inhibitor,Isovitexin
100,624,18,angiotensin converting enzyme inhibitor,Fisetin
101,662,18,angiotensin converting enzyme inhibitor,Gallic acid
102,742,18,angiotensin converting enzyme inhibitor,Gossypol
103,958,18,angiotensin converting enzyme inhibitor,Procyanidin B1
104,1156,18,angiotensin converting enzyme inhibitor,Capsianoside C
105,1498,18,angiotensin converting enzyme inhibitor,Glutathione
106,2257,18,angiotensin converting enzyme inhibitor,Arginine
107,2501,18,angiotensin converting enzyme inhibitor,Vitexin
108,2571,18,angiotensin converting enzyme inhibitor,Catechin
109,2576,18,angiotensin converting enzyme inhibitor,
110,2630,18,angiotensin converting enzyme inhibitor,Vicenin 2
111,2663,18,angiotensin converting enzyme inhibitor,Capsianoside I
112,2665,18,angiotensin converting enzyme inhibitor,Capsianoside D
113,3730,18,angiotensin converting enzyme inhibitor,Zinc
114,4237,18,angiotensin converting enzyme inhibitor,Nicotianamine
115,6775,18,angiotensin converting enzyme inhibitor,Corilagin
116,11660,18,angiotensin converting enzyme inhibitor,Syringin
117,11887,18,angiotensin converting enzyme inhibitor,Quercitrin
118,12208,18,angiotensin converting enzyme inhibitor,Procyanidin B3
119,12289,18,angiotensin converting enzyme inhibitor,Capsianside A
120,12578,18,angiotensin converting enzyme inhibitor,Ellagic acid
121,14419,18,angiotensin converting enzyme inhibitor,alpha-Terpineol
122,14656,18,angiotensin converting enzyme inhibitor,Oleuropein
123,15974,18,angiotensin converting enzyme inhibitor,
124,15975,18,angiotensin converting enzyme inhibitor,gamma-Terpinene
125,16015,18,angiotensin converting enzyme inhibitor,Oleoside
126,16396,18,angiotensin converting enzyme inhibitor,
127,16485,18,angiotensin converting enzyme inhibitor,Astragalin
128,16498,18,angiotensin converting enzyme inhibitor,Kaempferol 3-rhamnoside
129,17099,18,angiotensin converting enzyme inhibitor,
130,17121,18,angiotensin converting enzyme inhibitor,Epicatechin 3-gallate
131,17407,18,angiotensin converting enzyme inhibitor,"7-Methyl-3-methylene-1,6-octadiene"
132,17707,18,angiotensin converting enzyme inhibitor,Epigallocatechin
133,17709,18,angiotensin converting enzyme inhibitor,
134,17712,18,angiotensin converting enzyme inhibitor,Gallocatechin
135,17714,18,angiotensin converting enzyme inhibitor,Procyanidin B6
136,17722,18,angiotensin converting enzyme inhibitor,Procyanidin C2
137,17121,19,acetyl-CoA-carboxylase inhibitor,Epicatechin 3-gallate
138,17709,19,acetyl-CoA-carboxylase inhibitor,
139,11827,20,acetylcholinergic,beta-D-Glucopyranose
140,13570,21,acetylcholinesterase inhibitor,Limonene
141,14301,21,acetylcholinesterase inhibitor,(R)-p-Menth-4(8)-en-3-one
142,14602,21,acetylcholinesterase inhibitor,(S)-Carvone
143,1112,22,acidifier,Tartaric acid
144,1224,23,acidulant,L-Ascorbic acid
145,3292,23,acidulant,Fumaric acid
146,3293,23,acidulant,Lactic acid
147,8300,23,acidulant,
148,8310,23,acidulant,Hexanedioic acid
149,13383,23,acidulant,Phosphoric acid
150,13900,23,acidulant,Hexanoic acid
151,3636,24,acnegenic,Iodine
152,11660,25,adaptogenic,Syringin
153,3969,26,addictive,Nicotine
154,8298,26,addictive,Acetaldehyde
155,1112,27,additive,Tartaric acid
156,1931,27,additive,Succinic acid
157,13383,27,additive,Phosphoric acid
158,2100,28,adenosine antagonist,Caffeine
159,2427,29,adenylate-cyclase inhibitor,Rosmarinic acid
160,12566,30,adjuvant,L-Cystine
161,433,31,adrenergic,
162,449,31,adrenergic,Piperine
163,895,31,adrenergic,
164,8782,31,adrenergic,3-Phenyl-2-propenal
165,10529,31,adrenergic,Zingerone
166,12166,31,adrenergic,Dopamine
167,7947,32,aedifuge,Ponticaepoxide
168,13865,33,advanced glycation end products inhibitor,Emodin
169,1131,34,aggregant,Sucrose
170,449,35,aryl-hydrocarbon-hydroxylase inhibitor,Piperine
171,2451,36,serine/threonine kinase inhibitor,
172,12202,37,albuminurigenic,
173,1141,38,alcohol dehydrogenase inhibitor,Inulin
174,12193,38,alcohol dehydrogenase inhibitor,Allicin
175,2536,39,aldehyde-oxidase inhibitor,Quercetin 3-rutinoside
176,11907,39,aldehyde-oxidase inhibitor,Quercetin
177,591,40,aldose reductase inhibitor,Eupatilin
178,633,40,aldose reductase inhibitor,Kaempferol
179,678,40,aldose reductase inhibitor,(S)-Naringenin
180,696,40,aldose reductase inhibitor,Isofraxidin
181,742,40,aldose reductase inhibitor,Gossypol
182,846,40,aldose reductase inhibitor,Vanillic acid
183,861,40,aldose reductase inhibitor,Diosmetin
184,882,40,aldose reductase inhibitor,
185,963,40,aldose reductase inhibitor,Herniarin
186,1094,40,aldose reductase inhibitor,Umbelliferone
187,1111,40,aldose reductase inhibitor,Chinese tannin
188,1224,40,aldose reductase inhibitor,L-Ascorbic acid
189,1502,40,aldose reductase inhibitor,Glaucine
190,1537,40,aldose reductase inhibitor,Cirsimaritin
191,2414,40,aldose reductase inhibitor,Axillarin
192,2422,40,aldose reductase inhibitor,Eupafolin
193,2427,40,aldose reductase inhibitor,Rosmarinic acid
194,2436,40,aldose reductase inhibitor,Fraxinol
195,2464,40,aldose reductase inhibitor,Scutellarein
196,2501,40,aldose reductase inhibitor,Vitexin
197,2523,40,aldose reductase inhibitor,Quercetin 7-glucoside
198,2536,40,aldose reductase inhibitor,Quercetin 3-rutinoside
199,2558,40,aldose reductase inhibitor,Caffeic acid
200,2579,40,aldose reductase inhibitor,Chrysoeriol
201,2582,40,aldose reductase inhibitor,
202,2593,40,aldose reductase inhibitor,p-Coumaric acid
203,2627,40,aldose reductase inhibitor,"3,4-Dicaffeoylquinic acid"
204,2711,40,aldose reductase inhibitor,Hyperin
205,2749,40,aldose reductase inhibitor,
206,2751,40,aldose reductase inhibitor,Nevadensin
207,2766,40,aldose reductase inhibitor,Acacetin
208,2767,40,aldose reductase inhibitor,Acacetin 7-rutinoside
209,2774,40,aldose reductase inhibitor,Scoparone
210,2775,40,aldose reductase inhibitor,Aesculetin
211,2776,40,aldose reductase inhibitor,Aesculin
212,2801,40,aldose reductase inhibitor,Apiin
213,2820,40,aldose reductase inhibitor,Avicularin
214,2824,40,aldose reductase inhibitor,Kaempferol 3-galactoside
215,2829,40,aldose reductase inhibitor,Rhamnetin
216,5200,40,aldose reductase inhibitor,Isoscopoletin
217,5737,40,aldose reductase inhibitor,Pectolinarigenin
218,5767,40,aldose reductase inhibitor,Citrinin
219,5991,40,aldose reductase inhibitor,Chrysosplenol
220,6020,40,aldose reductase inhibitor,Rhamnocitrin
221,6935,40,aldose reductase inhibitor,Hispiduloside
222,6944,40,aldose reductase inhibitor,
223,7184,40,aldose reductase inhibitor,
224,7326,40,aldose reductase inhibitor,8-Methoxycirsilineol
225,11333,40,aldose reductase inhibitor,Hymenoxin
226,11831,40,aldose reductase inhibitor,Genistein
227,11869,40,aldose reductase inhibitor,Naringin
228,11887,40,aldose reductase inhibitor,Quercitrin
229,11900,40,aldose reductase inhibitor,Quercetagetin
230,11907,40,aldose reductase inhibitor,Quercetin
231,11926,40,aldose reductase inhibitor,
232,11941,40,aldose reductase inhibitor,
233,11958,40,aldose reductase inhibitor,Quercetin 3-arabinoside
234,12011,40,aldose reductase inhibitor,Indole
235,12033,40,aldose reductase inhibitor,Taxifolin 3-rhamnoside
236,12055,40,aldose reductase inhibitor,Cinnamic acid
237,12578,40,aldose reductase inhibitor,Ellagic acid
238,12708,40,aldose reductase inhibitor,Scopoletin
239,12729,40,aldose reductase inhibitor,Myricetin 3-rhamnoside
240,13258,40,aldose reductase inhibitor,Luteolin
241,13412,40,aldose reductase inhibitor,Acteoside
242,13529,40,aldose reductase inhibitor,Prunasin
243,13585,40,aldose reductase inhibitor,Sambunigrin
244,13713,40,aldose reductase inhibitor,"(+)-1(10),4-Cadinadiene"
245,13865,40,aldose reductase inhibitor,Emodin
246,14283,40,aldose reductase inhibitor,Luteolin 7-glucoside
247,14381,40,aldose reductase inhibitor,Nerolidol
248,14419,40,aldose reductase inhibitor,alpha-Terpineol
249,15555,40,aldose reductase inhibitor,6-Hydroxyluteolin
250,15740,40,aldose reductase inhibitor,beta-Caryophyllene
251,15974,40,aldose reductase inhibitor,
252,15975,40,aldose reductase inhibitor,gamma-Terpinene
253,16309,40,aldose reductase inhibitor,Juglanin
254,16342,40,aldose reductase inhibitor,Isoliquiritigenin
255,16363,40,aldose reductase inhibitor,
256,16369,40,aldose reductase inhibitor,Apigenin 7-glucoside
257,16396,40,aldose reductase inhibitor,
258,16485,40,aldose reductase inhibitor,Astragalin
259,16498,40,aldose reductase inhibitor,Kaempferol 3-rhamnoside
260,16707,40,aldose reductase inhibitor,Cirsiliol
261,16709,40,aldose reductase inhibitor,Cirsilineol
262,16719,40,aldose reductase inhibitor,Xanthomicrol
263,17102,40,aldose reductase inhibitor,Quercetin 4'-glucoside
264,17407,40,aldose reductase inhibitor,"7-Methyl-3-methylene-1,6-octadiene"
265,17700,40,aldose reductase inhibitor,Sideritiflavone
266,17707,40,aldose reductase inhibitor,Epigallocatechin
267,17709,40,aldose reductase inhibitor,
268,17927,40,aldose reductase inhibitor,Brevifolincarboxylic acid
269,18292,40,aldose reductase inhibitor,Rhoifolin
270,18942,40,aldose reductase inhibitor,Ethyl brevifolincarboxylate
271,505,41,allelochemic,L-Canavanine
272,838,41,allelochemic,Vanillin
273,885,41,allelochemic,Hydroquinone
274,887,41,allelochemic,Cinnamyl alcohol
275,933,41,allelochemic,
276,1094,41,allelochemic,Umbelliferone
277,1221,41,allelochemic,Arbutin
278,1425,41,allelochemic,Parasorbic acid
279,1512,41,allelochemic,"1,2-Benzenediol"
280,2536,41,allelochemic,Quercetin 3-rutinoside
281,2571,41,allelochemic,Catechin
282,2576,41,allelochemic,
283,2582,41,allelochemic,
284,2602,41,allelochemic,Cyanidin
285,2613,41,allelochemic,Delphinidin
286,2708,41,allelochemic,Juglone
287,5845,41,allelochemic,Plumbagin
288,7448,41,allelochemic,
289,8782,41,allelochemic,3-Phenyl-2-propenal
290,8783,41,allelochemic,
291,8786,41,allelochemic,2-Methylphenol
292,8790,41,allelochemic,4-Methylphenol
293,9076,41,allelochemic,Caprolactam
294,10454,41,allelochemic,Verbenone
295,10506,41,allelochemic,4-Hydroxybenzaldehyde
296,11907,41,allelochemic,Quercetin
297,11941,41,allelochemic,
298,12459,41,allelochemic,2-Hydroxybenzaldehyde
299,12708,41,allelochemic,Scopoletin
300,12727,41,allelochemic,Myricetin
301,13570,41,allelochemic,Limonene
302,13577,41,allelochemic,(±)-Borneol
303,14369,41,allelochemic,
304,15973,41,allelochemic,Terpinolene
305,514,42,allelopathic,Syringic acid
306,778,42,allelopathic,Asparagusic acid
307,846,42,allelopathic,Vanillic acid
308,2328,42,allelopathic,Hordatine B
309,2330,42,allelopathic,Hordatine A
310,2440,42,allelopathic,Tricin
311,2593,42,allelopathic,p-Coumaric acid
312,5892,42,allelopathic,Parthenolide
313,9066,42,allelopathic,Camphene
314,9068,42,allelopathic,D-Camphor
315,9779,42,allelopathic,(±)-Menthone
316,11261,42,allelopathic,o-Coumaric acid
317,11906,42,allelopathic,"3,3',4,4'-Tetrahydroxylignan"
318,12804,42,allelopathic,Ferulic acid
319,14419,42,allelopathic,alpha-Terpineol
320,14604,42,allelopathic,p-Menth-1-en-4-ol
321,14619,42,allelopathic,"1,8-Cineole"
322,15780,42,allelopathic,Sclareol
323,15903,42,allelopathic,Grandiflorolic acid
324,21874,42,allelopathic,
325,453,43,allergenic,Theophylline
326,624,43,allergenic,Fisetin
327,753,43,allergenic,Ethanol
328,838,43,allergenic,Vanillin
329,847,43,allergenic,
330,885,43,allergenic,Hydroquinone
331,887,43,allergenic,Cinnamyl alcohol
332,963,43,allergenic,Herniarin
333,1014,43,allergenic,Nicotinic acid
334,1037,43,allergenic,4-Aminobenzoic acid
335,1111,43,allergenic,Chinese tannin
336,1512,43,allergenic,"1,2-Benzenediol"
337,1982,43,allergenic,D-Mannitol
338,2558,43,allergenic,Caffeic acid
339,2582,43,allergenic,
340,2613,43,allergenic,Delphinidin
341,2728,43,allergenic,Isoeugenol
342,2766,43,allergenic,Acacetin
343,2793,43,allergenic,Anethole
344,2829,43,allergenic,Rhamnetin
345,4091,43,allergenic,Atropine
346,4644,43,allergenic,
347,4844,43,allergenic,Pinene
348,5753,43,allergenic,
349,5872,43,allergenic,Artemorin
350,5880,43,allergenic,Eremanthin
351,5892,43,allergenic,Parthenolide
352,5895,43,allergenic,Reynosin
353,5898,43,allergenic,Santamarin
354,5903,43,allergenic,Verlotorin
355,5956,43,allergenic,Lignans
356,5983,43,allergenic,Anthecotulide
357,6785,43,allergenic,Flavones
358,8302,43,allergenic,Acetone
359,8740,43,allergenic,Benzoic acid
360,8746,43,allergenic,Benzyl alcohol
361,8782,43,allergenic,3-Phenyl-2-propenal
362,9446,43,allergenic,Formaldehyde
363,10231,43,allergenic,Santalol (alpha and beta)
364,10397,43,allergenic,
365,11906,43,allergenic,"3,3',4,4'-Tetrahydroxylignan"
366,11907,43,allergenic,Quercetin
367,12055,43,allergenic,Cinnamic acid
368,12161,43,allergenic,Serotonin
369,12174,43,allergenic,Eugenol
370,12193,43,allergenic,Allicin
371,12199,43,allergenic,"Di-2-propenyl disulfide, 9CI"
372,12202,43,allergenic,
373,12213,43,allergenic,Ethyl acrylate
374,12443,43,allergenic,3-Isothiocyanato-1-propene
375,12462,43,allergenic,Methyl salicylate
376,12589,43,allergenic,
377,12599,43,allergenic,Histamine
378,12847,43,allergenic,Benzyl benzoate
379,12861,43,allergenic,Oleic acid
380,13570,43,allergenic,Limonene
381,13724,43,allergenic,
382,13795,43,allergenic,Geraniol
383,13797,43,allergenic,
384,13865,43,allergenic,Emodin
385,14118,43,allergenic,(±)-Limonene
386,14327,43,allergenic,alpha-Carene
387,14369,43,allergenic,
388,14381,43,allergenic,Nerolidol
389,14487,43,allergenic,alpha-Ionone
390,14493,43,allergenic,Citronellol
391,14502,43,allergenic,(-)-Menthol
392,14515,43,allergenic,5-Isopropyl-2-methylphenol
393,14616,43,allergenic,beta-Carotene
394,14617,43,allergenic,Carvone
395,14619,43,allergenic,"1,8-Cineole"
396,14620,43,allergenic,Citronellal
397,14664,43,allergenic,Benzaldehyde
398,14798,43,allergenic,2-Isopropyl-5-methylphenol
399,14894,43,allergenic,Farnesol
400,14943,43,allergenic,Linalool
401,15369,43,allergenic,Austricin
402,15392,43,allergenic,
403,15468,43,allergenic,beta-Pinene
404,15473,43,allergenic,beta-Ionone
405,15622,43,allergenic,Costunolide
406,15716,43,allergenic,Desacetyllaurenobiolide
407,15717,43,allergenic,Laurenobiolide
408,15740,43,allergenic,beta-Caryophyllene
409,17407,43,allergenic,"7-Methyl-3-methylene-1,6-octadiene"
410,17709,43,allergenic,
411,19220,43,allergenic,
412,20014,43,allergenic,Benzyl cinnamate
413,12589,44,alpha-amylase inhibitor,
414,847,45,alpha-glucosidase inhibitor,
415,2944,46,alpha-reductase inhibitor,Gamolenic acid
416,11831,46,alpha-reductase inhibitor,Genistein
417,12226,46,alpha-reductase inhibitor,Biochanin A
418,12861,46,alpha-reductase inhibitor,Oleic acid
419,2166,47,amblyopic,Pelletierine
420,366,48,amebicide,Dioscin
421,742,48,amebicide,Gossypol
422,2103,48,amebicide,Carpaine
423,3169,48,amebicide,Allitridin
424,12193,48,amebicide,Allicin
425,7104,49,amnesigenic,Diazepam
426,14657,50,amphetaminagenic,Myristicin
427,939,51,amphiestrogenic,1H-Indole-3-methanol
428,3517,52,amphiglycemic,Chromium
429,1108,53,amphitensive,(S)-[6]-Gingerol
430,2576,54,anabolic,
431,8422,54,anabolic,"(S,E)-Zearalenone"
432,11547,54,anabolic,Testosterone
433,449,55,analeptic,Piperine
434,2100,55,analeptic,Caffeine
435,8938,55,analeptic,
436,449,56,analgesic,Piperine
437,567,56,analgesic,L-DOPA
438,574,56,analgesic,Pyridoxine
439,659,56,analgesic,
440,662,56,analgesic,Gallic acid
441,844,56,analgesic,Gentisic acid
442,882,56,analgesic,
443,893,56,analgesic,Phenol
444,1028,56,analgesic,Ethyl salicylate
445,1083,56,analgesic,Bromelains
446,1108,56,analgesic,(S)-[6]-Gingerol
447,1224,56,analgesic,L-Ascorbic acid
448,1657,56,analgesic,Hastatoside
449,1982,56,analgesic,D-Mannitol
450,2089,56,analgesic,(S)-Reticuline
451,2100,56,analgesic,Caffeine
452,2141,56,analgesic,(S)-Dicentrine
453,2250,56,analgesic,L-Tryptophan
454,2339,56,analgesic,4-(4-Hydroxyphenyl)-2-butanone O-[6-galloylglucoside]
455,2515,56,analgesic,Osthol
456,2558,56,analgesic,Caffeic acid
457,2582,56,analgesic,
458,2652,56,analgesic,Daphnetin
459,2680,56,analgesic,Hesperidin
460,2711,56,analgesic,Hyperin
461,2774,56,analgesic,Scoparone
462,2775,56,analgesic,Aesculetin
463,2776,56,analgesic,Aesculin
464,2793,56,analgesic,Anethole
465,3555,56,analgesic,Adenosine
466,3730,56,analgesic,Zinc
467,3969,56,analgesic,Nicotine
468,3992,56,analgesic,
469,4091,56,analgesic,Atropine
470,4093,56,analgesic,beta-Amyrin
471,5348,56,analgesic,Germacrone
472,5753,56,analgesic,
473,5801,56,analgesic,Anisatin
474,6785,56,analgesic,Flavones
475,6944,56,analgesic,
476,7360,56,analgesic,Gentianine
477,7404,56,analgesic,Ribonuclease
478,8426,56,analgesic,
479,8430,56,analgesic,Allithiamine
480,9068,56,analgesic,D-Camphor
481,9779,56,analgesic,(±)-Menthone
482,10397,56,analgesic,
483,11864,56,analgesic,[6]-Shogaol
484,11906,56,analgesic,"3,3',4,4'-Tetrahydroxylignan"
485,11907,56,analgesic,Quercetin
486,11941,56,analgesic,
487,12101,56,analgesic,Solanidine
488,12152,56,analgesic,Falcarindiol
489,12161,56,analgesic,Serotonin
490,12174,56,analgesic,Eugenol
491,12414,56,analgesic,Capsaicin
492,12462,56,analgesic,Methyl salicylate
493,12708,56,analgesic,Scopoletin
494,12804,56,analgesic,Ferulic acid
495,13403,56,analgesic,Selenium
496,13412,56,analgesic,Acteoside
497,13577,56,analgesic,(±)-Borneol
498,14085,56,analgesic,Dehydrocurdione
499,14376,56,analgesic,Ursolic acid
500,14419,56,analgesic,alpha-Terpineol
501,14502,56,analgesic,(-)-Menthol
502,14506,56,analgesic,Ascaridole
503,14798,56,analgesic,2-Isopropyl-5-methylphenol
504,14943,56,analgesic,Linalool
505,15367,56,analgesic,"1,4-Dimethyl-7-ethylazulene"
506,15589,56,analgesic,
507,15740,56,analgesic,beta-Caryophyllene
508,16675,56,analgesic,Kaempferol 3-sophoroside
509,17365,56,analgesic,1-Isopropyl-4-methylbenzene
510,17407,56,analgesic,"7-Methyl-3-methylene-1,6-octadiene"
511,19220,56,analgesic,
512,22008,56,analgesic,
513,742,57,anaphrodisiac,Gossypol
514,4235,57,anaphrodisiac,Melatonin
515,12462,57,anaphrodisiac,Methyl salicylate
516,12414,58,anaphylactic,Capsaicin
517,14506,59,ancylostomicide,Ascaridole
518,14798,59,ancylostomicide,2-Isopropyl-5-methylphenol
519,694,60,androgenic,Eleutheroside B1
520,3576,60,androgenic,Boron
521,11547,60,androgenic,Testosterone
522,12365,60,androgenic,beta-Sitosterol
523,12762,60,androgenic,1-Octacosanol
524,14616,60,androgenic,beta-Carotene
525,12861,61,anemiagenic,Oleic acid
526,449,62,anesthetic,Piperine
527,753,62,anesthetic,Ethanol
528,754,62,anesthetic,Ethylene
529,893,62,anesthetic,Phenol
530,2758,62,anesthetic,Pinocembrin
531,2793,62,anesthetic,Anethole
532,4091,62,anesthetic,Atropine
533,7104,62,anesthetic,Diazepam
534,8549,62,anesthetic,Methyleugenol
535,8740,62,anesthetic,Benzoic acid
536,8746,62,anesthetic,Benzyl alcohol
537,8782,62,anesthetic,3-Phenyl-2-propenal
538,9068,62,anesthetic,D-Camphor
539,9446,62,anesthetic,Formaldehyde
540,11675,62,anesthetic,Safrole
541,11888,62,anesthetic,2-Methoxyphenol
542,11941,62,anesthetic,
543,12055,62,anesthetic,Cinnamic acid
544,12174,62,anesthetic,Eugenol
545,12414,62,anesthetic,Capsaicin
546,12708,62,anesthetic,Scopoletin
547,14419,62,anesthetic,alpha-Terpineol
548,14502,62,anesthetic,(-)-Menthol
549,14515,62,anesthetic,5-Isopropyl-2-methylphenol
550,14619,62,anesthetic,"1,8-Cineole"
551,14657,62,anesthetic,Myristicin
552,14664,62,anesthetic,Benzaldehyde
553,14798,62,anesthetic,2-Isopropyl-5-methylphenol
554,14943,62,anesthetic,Linalool
555,19140,62,anesthetic,Linalyl acetate
556,21545,62,anesthetic,Methylisoeugenol
557,12365,63,angiogenic,beta-Sitosterol
558,1224,64,angiotensin receptor blocker,L-Ascorbic acid
559,3522,64,angiotensin receptor blocker,Potassium
560,753,65,anhydrotic,Ethanol
561,4091,65,anhydrotic,Atropine
562,14798,66,ankylostomacide,2-Isopropyl-5-methylphenol
563,1083,67,anorectic,Bromelains
564,3969,67,anorectic,Nicotine
565,455,68,anorexic,Theobromine
566,567,68,anorexic,L-DOPA
567,3764,68,anorexic,Arsenic
568,12365,68,anorexic,beta-Sitosterol
569,13403,68,anorexic,Selenium
570,3969,69,autonomic nervous system paralytic,Nicotine
571,3969,70,autonomic nervous system stimulant,Nicotine
572,4537,71,ant repellent,Loliolide
573,846,72,anti helmintic,Vanillic acid
574,1111,72,anti helmintic,Chinese tannin
575,1457,72,anti helmintic,(+)-trans-Sabinol
576,1532,72,anti helmintic,Betulinic acid
577,1982,72,anti helmintic,D-Mannitol
578,2166,72,anti helmintic,Pelletierine
579,4713,72,anti helmintic,
580,5269,72,anti helmintic,Cucurbitin
581,11834,72,anti helmintic,2-Undecanone
582,12193,72,anti helmintic,Allicin
583,12202,72,anti helmintic,
584,13795,72,anti helmintic,Geraniol
585,14506,72,anti helmintic,Ascaridole
586,14515,72,anti helmintic,5-Isopropyl-2-methylphenol
587,14619,72,anti helmintic,"1,8-Cineole"
588,14798,72,anti helmintic,2-Isopropyl-5-methylphenol
589,14965,72,anti helmintic,(-)-3-Isothujone
590,1108,73,anti 5-hydroxytryptamine,(S)-[6]-Gingerol
591,11706,73,anti 5-hydroxytryptamine,(S)-[8]-Gingerol
592,11864,73,anti 5-hydroxytryptamine,[6]-Shogaol
593,16611,73,anti 5-hydroxytryptamine,Galanolactone
594,2680,74,anti LDL,Hesperidin
595,13577,75,anti acetylcholine,(±)-Borneol
596,678,76,anti acetylcholinesterase,(S)-Naringenin
597,6368,76,anti acetylcholinesterase,alpha-Elemol
598,9779,76,anti acetylcholinesterase,(±)-Menthone
