id,compound_id,health_effect_id,orig_health_effect_name,orig_compound_name,orig_citation,citation,citation_type,created_at,updated_at,creator_id,updater_id,source_id,source_type
18,11682,7,5-Alpha-Reductase-Inhibitor,PALMITIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,11682,Compound
19,11875,7,5-Alpha-Reductase-Inhibitor,ARACHIDONIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,11875,Compound
20,12226,7,5-Alpha-Reductase-Inhibitor,BIOCHANIN-A,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,12226,Compound
21,12295,7,5-Alpha-Reductase-Inhibitor,CURCUMIN,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,12295,Compound
22,12465,7,5-Alpha-Reductase-Inhibitor,ALPHA-LINOLENIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,12465,Compound
23,12763,7,5-Alpha-Reductase-Inhibitor,LINOLEIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,12763,Compound
24,12861,7,5-Alpha-Reductase-Inhibitor,OLEIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:06 UTC,2014-11-05 14:49:49 UTC,,,12861,Compound
25,2451,8,5-HETE-Inhibitor,RESVERATROL,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,2451,Compound
26,3103,8,5-HETE-Inhibitor,EICOSAPENTAENOIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,3103,Compound
27,5753,8,5-HETE-Inhibitor,VITAMIN-E,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,5753,Compound
28,10397,8,5-HETE-Inhibitor,TOCOPHEROL,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,10397,Compound
29,12295,8,5-HETE-Inhibitor,CURCUMIN,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,12295,Compound
30,2451,9,5-HT-Inhibitor,RESVERATROL,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,2451,Compound
31,2536,9,5-HT-Inhibitor,RUTIN,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,2536,Compound
32,5892,9,5-HT-Inhibitor,PARTHENOLIDE,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,5892,Compound
33,624,10,5-Lipoxygenase-Inhibitor,FISETIN,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,624,Compound
34,633,10,5-Lipoxygenase-Inhibitor,KAEMPFEROL,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,633,Compound
35,2451,10,5-Lipoxygenase-Inhibitor,RESVERATROL,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,2451,Compound
36,2515,10,5-Lipoxygenase-Inhibitor,OSTHOL,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,2515,Compound
37,2576,10,5-Lipoxygenase-Inhibitor,(-)-EPICATECHIN,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,2576,Compound
38,2775,10,5-Lipoxygenase-Inhibitor,AESCULETIN|ESCULETIN,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,2775,Compound
39,5892,10,5-Lipoxygenase-Inhibitor,PARTHENOLIDE,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,5892,Compound
40,7868,10,5-Lipoxygenase-Inhibitor,CIS-METHYLSULPHINOTHIOIC-ACID-S-1-PROPENYLESTER,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,7868,Compound
41,7869,10,5-Lipoxygenase-Inhibitor,CIS-N-PROPYLSULPHINOTHIOIC-ACID-S-1-PROPENYLESTER,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,7869,Compound
42,7903,10,5-Lipoxygenase-Inhibitor,N-PROPYLSULPHINOTHIOIC-ACID-S-N-PROPYLESTER,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,7903,Compound
43,7926,10,5-Lipoxygenase-Inhibitor,"TRANS-5-ETHYL-4,6,7-TRITHIA-2-DECENE-4-S-OXIDE",,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,7926,Compound
44,7928,10,5-Lipoxygenase-Inhibitor,TRANS-METHYLSULPHINOTHIOIC-ACID-S-1-PROPENYLESTER,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,7928,Compound
45,7929,10,5-Lipoxygenase-Inhibitor,TRANS-N-PROPYLSULPHINOTHIOIC-ACID-S-1-PROPENYLESTER,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,7929,Compound
46,7931,10,5-Lipoxygenase-Inhibitor,"TRANS-TRANS-5-ETHYL-4,6,7-TRITHIA-2,8-DECADIENE-4-S-OXIDE",,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,7931,Compound
47,10529,10,5-Lipoxygenase-Inhibitor,ZINGERONE,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,10529,Compound
48,11864,10,5-Lipoxygenase-Inhibitor,SHOGAOL,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,11864,Compound
49,11906,10,5-Lipoxygenase-Inhibitor,NORDIHYDROGUAIARETIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,11906,Compound
50,11907,10,5-Lipoxygenase-Inhibitor,QUERCETIN,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,11907,Compound
51,12295,10,5-Lipoxygenase-Inhibitor,CURCUMIN,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,12295,Compound
52,12414,10,5-Lipoxygenase-Inhibitor,CAPSAICIN,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,12414,Compound
53,14817,10,5-Lipoxygenase-Inhibitor,CARNOSOL,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,14817,Compound
54,12295,11,8-HETE-Inhibitor,CURCUMIN,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,12295,Compound
55,2427,12,ABeta-Inhibitor,ROSMARINIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,2427,Compound
56,449,13,Abortifacient,PIPERINE,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,449,Compound
57,1521,13,Abortifacient,VERBENALIN,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,1521,Compound
58,2096,13,Abortifacient,BOLDINE,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,2096,Compound
59,3674,13,Abortifacient,PROSTAGLANDIN-E-2,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,3674,Compound
60,4484,13,Abortifacient,EUPHOL,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,4484,Compound
61,5845,13,Abortifacient,PLUMBAGIN,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,5845,Compound
62,6195,13,Abortifacient,ALPHA-MOMORCHARIN,,DUKE,DATABASE,2012-04-10 14:16:07 UTC,2014-11-05 14:49:49 UTC,,,6195,Compound
63,6196,13,Abortifacient,BETA-MOMORCHARIN,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,6196,Compound
64,6199,13,Abortifacient,CHARANTIN,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,6199,Compound
65,8422,13,Abortifacient,ZEARALENONE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,8422,Compound
66,9021,13,Abortifacient,BETAINE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,9021,Compound
67,11831,13,Abortifacient,GENISTEIN,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,11831,Compound
68,11932,13,Abortifacient,APIOLE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,11932,Compound
69,12161,13,Abortifacient,SEROTONIN,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,12161,Compound
70,12222,13,Abortifacient,FORMONONETIN,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,12222,Compound
71,12578,13,Abortifacient,ELLAGIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,12578,Compound
72,13037,13,Abortifacient,OLEANOLIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,13037,Compound
73,14963,13,Abortifacient,BETA-THUJONE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,14963,Compound
74,14965,13,Abortifacient,ALPHA-THUJONE|THUJONE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,14965,Compound
75,15009,13,Abortifacient,BETA-BISABOLENE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,15009,Compound
76,1128,14,Absorbent,STARCH,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,1128,Compound
77,8284,15,Acantholytic,ALLYL-MERCAPTAN,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,8284,Compound
78,8314,15,Acantholytic,ALLYLMETHYLSULFIDE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,8314,Compound
79,15392,15,Acantholytic,ALLYL-SULFIDE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,15392,Compound
80,3358,16,Acaricide,OXALIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,3358,Compound
81,3368,16,Acaricide,BENZYL-ACETATE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,3368,Compound
82,8769,16,Acaricide,BUTYLIDENE-PHTHALIDE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,8769,Compound
83,8782,16,Acaricide,CINNAMALDEHYDE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,8782,Compound
84,9779,16,Acaricide,MENTHONE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,9779,Compound
85,11916,16,Acaricide,O-ANISALDEHYDE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,11916,Compound
86,12174,16,Acaricide,EUGENOL,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,12174,Compound
87,12396,16,Acaricide,ACETYL-EUGENOL,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,12396,Compound
88,12807,16,Acaricide,FORMIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,12807,Compound
89,12847,16,Acaricide,BENZYL-BENZOATE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,12847,Compound
90,13570,16,Acaricide,LIMONENE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,13570,Compound
91,14619,16,Acaricide,"1,8-CINEOLE",,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:49 UTC,,,14619,Compound
92,14620,16,Acaricide,CITRONELLAL,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:50 UTC,,,14620,Compound
93,14798,16,Acaricide,THYMOL,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:50 UTC,,,14798,Compound
94,14913,16,Acaricide,PERILLALDEHYDE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:50 UTC,,,14913,Compound
95,14943,16,Acaricide,LINALOOL,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:50 UTC,,,14943,Compound
96,15345,16,Acaricide,ALPHA-CADINOL,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:50 UTC,,,15345,Compound
97,15974,16,Acaricide,ALPHA-TERPINENE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:50 UTC,,,15974,Compound
98,15975,16,Acaricide,GAMMA-TERPINENE,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:50 UTC,,,15975,Compound
99,3718,17,Acarifuge,SULFUR,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:50 UTC,,,3718,Compound
100,614,18,ACE-Inhibitor,ISOVITEXIN,,DUKE,DATABASE,2012-04-10 14:16:08 UTC,2014-11-05 14:49:50 UTC,,,614,Compound
101,624,18,ACE-Inhibitor,FISETIN,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,624,Compound
102,662,18,ACE-Inhibitor,GALLIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,662,Compound
103,742,18,ACE-Inhibitor,GOSSYPOL,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,742,Compound
104,958,18,ACE-Inhibitor,PROCYANIDIN-B-1,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,958,Compound
105,1156,18,ACE-Inhibitor,CAPSIANOSIDE-C,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,1156,Compound
106,1498,18,ACE-Inhibitor,GLUTATHIONE,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,1498,Compound
107,2257,18,ACE-Inhibitor,L-ARGININE,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,2257,Compound
108,2501,18,ACE-Inhibitor,VITEXIN,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,2501,Compound
109,2571,18,ACE-Inhibitor,(+)-CATECHIN,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,2571,Compound
110,2576,18,ACE-Inhibitor,(-)-EPICATECHIN,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,2576,Compound
111,2630,18,ACE-Inhibitor,VICENIN-2,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,2630,Compound
112,2663,18,ACE-Inhibitor,CAPSIANOSIDE-I,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,2663,Compound
113,2665,18,ACE-Inhibitor,CAPSIANOSIDE-D,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,2665,Compound
114,3730,18,ACE-Inhibitor,ZINC,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,3730,Compound
115,4237,18,ACE-Inhibitor,NICOTIANAMINE,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,4237,Compound
116,6775,18,ACE-Inhibitor,CORILAGIN,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,6775,Compound
117,11660,18,ACE-Inhibitor,SYRINGIN,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,11660,Compound
118,11887,18,ACE-Inhibitor,QUERCITRIN,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,11887,Compound
119,12208,18,ACE-Inhibitor,PROCYANIDIN-B-3,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,12208,Compound
120,12289,18,ACE-Inhibitor,CAPSIANOSIDE-A,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,12289,Compound
121,12578,18,ACE-Inhibitor,ELLAGIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,12578,Compound
122,14419,18,ACE-Inhibitor,ALPHA-TERPINEOL,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,14419,Compound
123,14656,18,ACE-Inhibitor,OLEUROPEIN,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,14656,Compound
124,15974,18,ACE-Inhibitor,ALPHA-TERPINENE,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,15974,Compound
125,15975,18,ACE-Inhibitor,GAMMA-TERPINENE,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,15975,Compound
126,16015,18,ACE-Inhibitor,OLEOSIDE,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,16015,Compound
127,16396,18,ACE-Inhibitor,ISOQUERCITRIN,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,16396,Compound
128,16485,18,ACE-Inhibitor,ASTRAGALIN,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,16485,Compound
129,16498,18,ACE-Inhibitor,AFZELIN,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,16498,Compound
130,17099,18,ACE-Inhibitor,QUERCETIN-3-O-BETA-D-GLUCURONIDE,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,17099,Compound
131,17121,18,ACE-Inhibitor,(-)-EPICATECHIN-3-O-GALLATE,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,17121,Compound
132,17407,18,ACE-Inhibitor,MYRCENE,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,17407,Compound
133,17707,18,ACE-Inhibitor,(-)-EPIGALLOCATECHIN,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,17707,Compound
134,17709,18,ACE-Inhibitor,(-)-EPIGALLOCATECHIN-3-O-GALLATE,,DUKE,DATABASE,2012-04-10 14:16:09 UTC,2014-11-05 14:49:50 UTC,,,17709,Compound
135,17712,18,ACE-Inhibitor,(+)-GALLOCATECHIN,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,17712,Compound
136,17714,18,ACE-Inhibitor,PROCYANIDIN-B-6,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,17714,Compound
137,17722,18,ACE-Inhibitor,PROCYANIDIN-C-2,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,17722,Compound
138,17121,19,Acetyl-CoA-Carboxylase-Inhibitor,(-)-EPICATECHIN-GALLATE,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,17121,Compound
139,17709,19,Acetyl-CoA-Carboxylase-Inhibitor,(-)-EPIGALLOCATECHIN-GALLATE,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,17709,Compound
140,11827,20,Acetylcholinergic,GLUCOSE,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,11827,Compound
141,13570,21,AChE-Inhibitor,LIMONENE,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,13570,Compound
142,14301,21,AChE-Inhibitor,PULEGONE,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,14301,Compound
143,14602,21,AChE-Inhibitor,D-CARVONE,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,14602,Compound
144,1112,22,Acidifier,TARTARIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,1112,Compound
145,1224,23,Acidulant,ASCORBIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,1224,Compound
146,3292,23,Acidulant,FUMARIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,3292,Compound
147,3293,23,Acidulant,LACTIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,3293,Compound
148,8300,23,Acidulant,ACETIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,8300,Compound
149,8310,23,Acidulant,ADIPIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,8310,Compound
150,13383,23,Acidulant,PHOSPHORIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,13383,Compound
151,13900,23,Acidulant,HEXANOIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,13900,Compound
152,3636,24,Acnegenic,IODINE,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,3636,Compound
153,11660,25,Adaptogenic,SYRINGIN,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,11660,Compound
154,3969,26,Addictive,NICOTINE,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,3969,Compound
155,8298,26,Addictive,ACETALDEHYDE,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,8298,Compound
156,1112,27,Additive,TARTARIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,1112,Compound
157,1931,27,Additive,SUCCINIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,1931,Compound
158,13383,27,Additive,PHOSPHORIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,13383,Compound
159,2100,28,Adenosine-Antagonist,CAFFEINE,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,2100,Compound
160,2427,29,Adenylate-Cyclase-Inhibitor,ROSMARINIC-ACID,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,2427,Compound
161,12566,30,Adjuvant,CYSTINE,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,12566,Compound
162,433,31,Adrenergic,TYRAMINE,,DUKE,DATABASE,2012-04-10 14:16:10 UTC,2014-11-05 14:49:50 UTC,,,433,Compound
