id,name,description,chebi_name,chebi_id,created_at,updated_at,creator_id,updater_id,chebi_definition
32,aedifuge,,pesticide,25944,2012-04-10 10:05:14 UTC,2015-10-27 17:47:47 UTC,,,"Strictly, a substance intended to kill pests. In common usage, any substance used for controlling, preventing, or destroying animal, microbiological or plant pests."
33,advanced glycation end products inhibitor,,inhibitor,35222,2012-04-10 10:05:14 UTC,2015-10-27 17:47:48 UTC,,,A substance that diminishes the rate of a chemical reaction.
34,aggregant,"An agent that promotes conjugation or collection of particulars into a whole.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:14 UTC,,,
35,aryl-hydrocarbon-hydroxylase inhibitor,,enzyme inhibitor,23924,2012-04-10 10:05:14 UTC,2015-10-27 17:47:48 UTC,,,A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction.
36,serine/threonine kinase inhibitor,,serine/threonine kinase inhibitor,50925,2012-04-10 10:05:14 UTC,2015-10-27 17:47:49 UTC,,,"An EC 2.7.11.* (protein-serine/threonine kinase) inhibitor that interferes with the action of non-specific serine/threonine protein kinase (EC 2.7.11.1), a kinase enzyme involved in phosphorylation of hydroxy group of serine or threonine."
37,albuminurigenic,,,,2012-04-10 10:05:14 UTC,2012-04-10 10:05:14 UTC,,,
38,alcohol dehydrogenase inhibitor,,alcohol dehydrogenase inhibitor,50269,2012-04-10 10:05:14 UTC,2015-10-27 17:47:49 UTC,,,"An EC 1.1.1.* (oxidoreductase acting on donor CH-OH group, NAD(+) or NADP(+) acceptor) inhibitor that interferes with the action of alcohol dehydrogenase (EC 1.1.1.1)."
39,aldehyde-oxidase inhibitor,,enzyme inhibitor,23924,2012-04-10 10:05:14 UTC,2015-10-27 17:47:50 UTC,,,A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction.
40,aldose reductase inhibitor,,aldose reductase inhibitor,48550,2012-04-10 10:05:14 UTC,2015-10-27 17:47:50 UTC,,,"An EC 1.1.1.* (oxidoreductase acting on donor CH-OH group, NAD(+) or NADP(+) acceptor) inhibitor that interferes with the action of aldehyde reductase (EC 1.1.1.21)."
41,allelochemic,"Chemicals, released from plants, that cause an interaction between plants and other living organisms.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:18 UTC,,,
42,allelopathic,"Biochemicals produced by an organism that influence the growth, survival, and reproduction of other organisms.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:18 UTC,,,
43,allergenic,,allergenic agent,50904,2012-04-10 10:05:14 UTC,2015-10-27 17:47:51 UTC,,,A chemical compound which causes the onset of an allergic reaction by interacting with any of the molecular pathways involved in an allergy.
44,alpha-amylase inhibitor,,alpha-amylase inhibitor,50627,2012-04-10 10:05:14 UTC,2015-10-27 17:47:52 UTC,,,An EC 3.2.1.* (glycosidase) inhibitor that interferes with the action of alpha-amylase (EC 3.2.1.1).
45,alpha-glucosidase inhibitor,,alpha-glucoside hydrolase inhibitor,50628,2012-04-10 10:05:14 UTC,2015-10-27 17:47:52 UTC,,,An EC 3.2.1.* (glycosidase) inhibitor that interferes with the action of alpha-glucosidase (EC 3.2.1.20).
46,alpha-reductase inhibitor,,enzyme inhibitor,23924,2012-04-10 10:05:14 UTC,2015-10-27 17:47:53 UTC,,,A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction.
47,amblyopic,"A toxic sunstance causing amblyopia by damaging the optic nerve, such as lead, methanol, antifreeze, or certain drugs.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:11 UTC,,,
48,amebicide,,antimicrobial agent,33281,2012-04-10 10:05:14 UTC,2015-10-27 17:47:53 UTC,,,"A substance that kills or slows the growth of microorganisms, including bacteria, viruses, fungi and protozoans."
49,amnesigenic,,aetiopathogenetic role,52209,2012-04-10 10:05:14 UTC,2015-10-27 17:47:54 UTC,,,A role played by the molecular entity or part thereof which causes the development of a pathological process.
50,amphetaminagenic,,,,2012-04-10 10:05:14 UTC,2012-04-10 10:05:14 UTC,,,
51,amphiestrogenic,,,,2012-04-10 10:05:14 UTC,2012-04-10 10:05:14 UTC,,,
52,amphiglycemic,"An agent that stabilizes blood sugar levels.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:15 UTC,,,
53,amphitensive,,,,2012-04-10 10:05:14 UTC,2012-04-10 10:05:14 UTC,,,
54,anabolic,,anabolic agent,36413,2012-04-10 10:05:14 UTC,2015-10-29 22:41:03 UTC,,,"A compound which stimulates anabolism and inhibits catabolism. Anabolic agents stimulate the development of muscle mass, strength, and power."
55,analeptic,,central nervous system stimulant,35337,2012-04-10 10:05:14 UTC,2015-10-29 22:41:03 UTC,,,Any drug that enhances the activity of the central nervous system.
56,analgesic,,analgesic,35480,2012-04-10 10:05:14 UTC,2015-10-27 17:47:54 UTC,,,"An agent capable of relieving pain without the loss of consciousness or without producing anaesthesia. In addition, analgesic is a role played by a compound which is exhibited by a capability to cause a reduction of pain symptoms."
57,anaphrodisiac,"An agent that quells or blunts the libido.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:14 UTC,,,
58,anaphylactic,"Allergent causing anaphylaxis, an allergic reaction with symptoms such as itchy rash, throat swelling, low blood pressure.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:11 UTC,,,
59,ancylostomicide,"An agent destructive to Ancylostoma genus of nematodes.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:11 UTC,,,
60,androgenic,"An agent, usually a steroid hormone, that stimulates or controls the development and maintenance of male characteristics in vertebrates by binding to androgen receptors. This includes the activity of the accessory male sex organs and development of male secondary sex characteristics.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:17 UTC,,,
61,anemiagenic,"An agent causing anemia. For example, arsenic can cause hemolytic anemia.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:11 UTC,,,
62,anesthetic,"A drug that causes anesthesia, a reversible loss of sensation.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:10 UTC,,,
63,angiogenic,,angiogenesis inducing agent,50927,2012-04-10 10:05:14 UTC,2015-10-27 17:47:55 UTC,,,An agent that induces or stimulates the physiologic angiogenesis process.
64,angiotensin receptor blocker,,angiotensin receptor antagonist,61016,2012-04-10 10:05:14 UTC,2015-10-27 17:47:55 UTC,,,A hormone antagonist that blocks angiotensin receptors.
65,anhydrotic,"An agent that suppresses sweating. Denoting a reduction or absence of sweat glands, characteristic of congenital ectodermal defect and anhidrotic ectodermal dysplasia.
",,,2012-04-10 10:05:14 UTC,2015-11-11 02:32:16 UTC,,,
66,ankylostomacide,,pharmaceutical,52217,2012-04-10 10:05:14 UTC,2015-10-27 17:47:56 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
67,anorectic,,appetite regulator,50780,2012-04-10 10:05:14 UTC,2015-10-27 17:47:56 UTC,,,An agent which regulates the physiologic mechanisms that control the appetite and food intake.
68,anorexic,,appetite regulator,50780,2012-04-10 10:05:14 UTC,2015-10-27 17:47:57 UTC,,,An agent which regulates the physiologic mechanisms that control the appetite and food intake.
69,autonomic nervous system paralytic,,pharmaceutical,52217,2012-04-10 10:05:14 UTC,2015-10-27 17:47:57 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
70,autonomic nervous system stimulant,,pharmaceutical,52217,2012-04-10 10:05:14 UTC,2015-10-27 17:47:58 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
71,ant repellent,,insecticide,24852,2012-04-10 10:05:14 UTC,2015-10-27 17:47:58 UTC,,,"Strictly, a substance intended to kill members of the class Insecta.  In common usage, any substance used for preventing, destroying, repelling or controlling insects."
72,anti helmintic,,antimicrobial agent,33281,2012-04-10 10:05:14 UTC,2015-10-27 17:47:59 UTC,,,"A substance that kills or slows the growth of microorganisms, including bacteria, viruses, fungi and protozoans."
73,anti 5-hydroxytryptamine,,serotonergic antagonist,48279,2012-04-10 10:05:14 UTC,2015-10-27 17:48:00 UTC,,,"Drugs that bind to but do not activate serotonin receptors, thereby blocking the actions of serotonin or serotonergic agonists."
74,anti LDL,,inhibitor,35222,2012-04-10 10:05:14 UTC,2015-10-27 17:48:01 UTC,,,A substance that diminishes the rate of a chemical reaction.
75,anti acetylcholine,,cholinergic drug,38323,2012-04-10 10:05:14 UTC,2015-10-27 17:48:01 UTC,,,"Any drug used for its actions on cholinergic systems. Included here are agonists and antagonists, drugs that affect the life cycle of acetylcholine, and drugs that affect the survival of cholinergic neurons."
76,anti acetylcholinesterase,,acetylcholinesterase inhibitor,38462,2012-04-10 10:05:14 UTC,2015-10-27 17:48:02 UTC,,,"An EC 3.1.1.* (carboxylic ester hydrolase) inhibitor that interferes with the action of enzyme acetylcholinesterase (EC 3.1.1.7), which helps breaking down of acetylcholine into choline and acetic acid."
77,anti acid,"A substance that neutralizes acidity, such as stomach acidity that causes heartburn.
",,,2012-04-10 10:05:15 UTC,2015-11-11 02:32:10 UTC,,,
78,anti acne,,dermatologic drug,50177,2012-04-10 10:05:15 UTC,2015-10-27 17:48:02 UTC,,,A drug used to treat or prevent skin disorders or for the routine care of skin.
79,anti acrocyanotic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:03 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
80,anti acrodermatitic,,dermatologic drug,50177,2012-04-10 10:05:15 UTC,2015-10-27 17:48:03 UTC,,,A drug used to treat or prevent skin disorders or for the routine care of skin.
81,anti acrodynic,,dermatologic drug,50177,2012-04-10 10:05:15 UTC,2015-10-27 17:48:04 UTC,,,A drug used to treat or prevent skin disorders or for the routine care of skin.
82,anti acromegalic,"An agent that suppresses the over production of growth hormone related to acromegaly.
",,,2012-04-10 10:05:15 UTC,2015-11-11 02:32:16 UTC,,,
83,anti ADD,"A drug used to treat attention deficit disorder, often a stimulant that promotes concentration and attention.
",,,2012-04-10 10:05:15 UTC,2015-11-11 02:32:10 UTC,,,
84,anti Addisonian,"An agent, often a steroid, used to manage addison's disease characterized by underactivity of the adrenal glands.
",,,2012-04-10 10:05:15 UTC,2015-11-11 02:32:16 UTC,,,
85,anti adenoma carcinogenic,,antineoplastic agent,35610,2012-04-10 10:05:15 UTC,2015-10-27 17:48:08 UTC,,,A substance that inhibits or prevents the proliferation of neoplasms.
86,anti adenomic,,antineoplastic agent,35610,2012-04-10 10:05:15 UTC,2015-10-27 17:48:09 UTC,,,A substance that inhibits or prevents the proliferation of neoplasms.
87,anti adenoviral,,antiviral agent,22587,2012-04-10 10:05:15 UTC,2015-10-27 17:48:10 UTC,,,A substance that destroys or inhibits replication of viruses.
88,anti adenovirus,,antiviral agent,22587,2012-04-10 10:05:15 UTC,2015-10-27 17:48:10 UTC,,,A substance that destroys or inhibits replication of viruses.
89,anti adhesive,"An agent that prevents adhesion, or the clinging together of dissimilar particles or surfaces.
",,,2012-04-10 10:05:15 UTC,2015-11-11 02:32:13 UTC,,,
90,anti adrenalinic,,adrenergic agent,37962,2012-04-10 10:05:15 UTC,2015-10-27 17:48:11 UTC,,,Any agent that acts on an adrenergic receptor or affects the life cycle of an adrenergic transmitter.
91,anti adrenergic,,adrenergic agent,37962,2012-04-10 10:05:15 UTC,2015-10-27 17:48:12 UTC,,,Any agent that acts on an adrenergic receptor or affects the life cycle of an adrenergic transmitter.
92,anti aflatoxin,,inhibitor,35222,2012-04-10 10:05:15 UTC,2015-10-27 17:48:12 UTC,,,A substance that diminishes the rate of a chemical reaction.
93,anti advanced glycation end products,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:13 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
94,anti aggregant,"An agent that prevents the conjugation or collection of particulars into a whole.
",,,2012-04-10 10:05:15 UTC,2015-11-11 02:32:13 UTC,,,
95,anti aging,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:13 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
96,anti AIDS,,antiviral agent,22587,2012-04-10 10:05:15 UTC,2015-10-27 17:48:14 UTC,,,A substance that destroys or inhibits replication of viruses.
97,anti akathisic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:14 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
98,anti alcoholic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:15 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
99,anti aldosteronic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:15 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
100,anti alkali,"An agent that reduces the pH of a solution.
",,,2012-04-10 10:05:15 UTC,2015-11-11 02:32:14 UTC,,,
101,anti alkalotic,"An agent that relieves excessively alkiline conditions of body fluids or tissues that may cause weakness or cramps.
",,,2012-04-10 10:05:15 UTC,2015-11-11 02:32:14 UTC,,,
102,anti allergenic,,anti-allergic drug,50857,2012-04-10 10:05:15 UTC,2015-10-27 17:48:16 UTC,,,A drug used to treat allergic reactions.
103,anti allergic,,anti-allergic drug,50857,2012-04-10 10:05:15 UTC,2015-10-27 17:48:17 UTC,,,A drug used to treat allergic reactions.
104,anti alopecic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:17 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
105,anti Alzheimeran,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:18 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
106,anti amblyopic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:18 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
107,anti amebic,,antimicrobial agent,33281,2012-04-10 10:05:15 UTC,2015-10-27 17:48:19 UTC,,,"A substance that kills or slows the growth of microorganisms, including bacteria, viruses, fungi and protozoans."
108,anti amnesic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:19 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
109,anti amyloid-beta,"An agent, such as an antibody, that lowers amyloid levels in an an Alzheimer affected brain.
",,,2012-04-10 10:05:15 UTC,2015-11-11 02:32:17 UTC,,,
110,anti anacarditic,,,,2012-04-10 10:05:15 UTC,2012-04-10 10:05:15 UTC,,,
111,anti anaphylactic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:20 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
112,anti androgenic,,androgen antagonist,35497,2012-04-10 10:05:15 UTC,2015-10-27 17:48:20 UTC,,,A compound which inhibits or antagonises the biosynthesis or actions of androgens.
113,anti anemic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:21 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
114,anti anginal,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:21 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
115,anti angiogenic,,angiogenesis inhibitor,48422,2012-04-10 10:05:15 UTC,2015-10-27 17:48:22 UTC,,,An agent and endogenous substances that antagonize or inhibit the development of new blood vessels.
116,anti angiotensic,,hormone antagonist,49020,2012-04-10 10:05:15 UTC,2015-10-27 17:48:22 UTC,,,"A chemical substance which inhibits the function of the endocrine glands, the biosynthesis of their secreted hormones, or the action of hormones upon their specific sites."
117,anti anorectic,,appetite regulator,50780,2012-04-10 10:05:15 UTC,2015-10-27 17:48:23 UTC,,,An agent which regulates the physiologic mechanisms that control the appetite and food intake.
118,anti anorexic,,appetite regulator,50780,2012-04-10 10:05:15 UTC,2015-10-27 17:48:23 UTC,,,An agent which regulates the physiologic mechanisms that control the appetite and food intake.
119,anti anoxic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:24 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
120,anti anxiety,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:25 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
121,anti apertif,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:25 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
122,anti aphthic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:26 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
123,anti apneic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:26 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
124,anti apoplectic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:27 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
125,anti apoptotic,"An agent that inhibits the process of apoptosis, or programmed cell death.
",,,2012-04-10 10:05:15 UTC,2015-11-11 02:32:13 UTC,,,
126,anti appetant,,appetite regulator,50780,2012-04-10 10:05:15 UTC,2015-10-27 17:48:27 UTC,,,An agent which regulates the physiologic mechanisms that control the appetite and food intake.
127,anti arabiflavinotic,,,,2012-04-10 10:05:15 UTC,2012-04-10 10:05:15 UTC,,,
128,anti arachidonate,,inhibitor,35222,2012-04-10 10:05:15 UTC,2015-10-27 17:48:28 UTC,,,A substance that diminishes the rate of a chemical reaction.
129,anti arrhythmic,,cardiovascular drug,38070,2012-04-10 10:05:15 UTC,2015-10-27 17:48:29 UTC,,,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
130,anti arteriosclerotic,,cardiovascular drug,38070,2012-04-10 10:05:15 UTC,2015-10-27 17:48:29 UTC,,,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
131,anti arthritic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:30 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
132,anti asphyctic,"An agent that can enhance the blood's ability to carry oxygen.
",,,2012-04-10 10:05:15 UTC,2015-11-11 02:32:11 UTC,,,
133,ant iasthenic,,pharmaceutical,52217,2012-04-10 10:05:15 UTC,2015-10-27 17:48:30 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
134,anti asthmatic,,anti-asthmatic drug,49167,2012-04-10 10:05:15 UTC,2015-10-27 17:48:31 UTC,,,A drug used to treat asthma.
135,anti ataxic,"A drug used to treat ataxia, a stimulant of movement coordination centres, such as the cerebellum.
",,,2012-04-10 10:05:15 UTC,2015-11-11 02:32:10 UTC,,,
136,anti atherogenic,,cardiovascular drug,38070,2012-04-10 10:05:16 UTC,2015-10-27 17:48:31 UTC,,,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
137,anti atheromic,,cardiovascular drug,38070,2012-04-10 10:05:16 UTC,2015-10-27 17:48:32 UTC,,,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
138,anti atherosclerotic,,cardiovascular drug,38070,2012-04-10 10:05:16 UTC,2015-10-27 17:48:33 UTC,,,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
139,anti atherotic,,cardiovascular drug,38070,2012-04-10 10:05:16 UTC,2015-10-27 17:48:33 UTC,,,"A drug used for the treatment or prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
140,anti autistic,,pharmaceutical,52217,2012-04-10 10:05:16 UTC,2015-10-27 17:48:34 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
141,anti azotemic,,pharmaceutical,52217,2012-04-10 10:05:16 UTC,2015-10-27 17:48:34 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
142,anti bacillary,,antibacterial agent,33282,2012-04-10 10:05:16 UTC,2015-10-27 17:48:35 UTC,,,A substance that kills or slows the growth of bacteria.
143,anti bacillus,,antibacterial agent,33282,2012-04-10 10:05:16 UTC,2015-10-27 17:48:36 UTC,,,A substance that kills or slows the growth of bacteria.
144,anti backache,,pharmaceutical,52217,2012-04-10 10:05:16 UTC,2015-10-27 17:48:37 UTC,,,Any substance introduced into a living organism with therapeutic or diagnostic purpose.
145,anti bacterial,,antibacterial agent,33282,2012-04-10 10:05:16 UTC,2015-10-27 17:48:37 UTC,,,A substance that kills or slows the growth of bacteria.
